,gvkey,year,sim
401,2270,2003,0.19994620786971784
402,2270,2004,0.25464266483973896
403,2270,2005,0.3077651830093995
404,2270,2006,0.35975068244001696
405,2271,2002,3.280120152551073
406,2271,2003,3.2196086627672966
407,2271,2004,3.2459313439208466
408,2271,2005,3.254753136078594
409,2271,2006,3.320326116583109
410,2285,2002,348.86429752037316
411,2285,2003,359.7970088931128
412,2285,2004,366.5777452787409
413,2285,2005,372.06664081738967
414,2285,2006,376.0410160147075
415,2295,2002,0.33329221720535984
416,2295,2003,0.3561823333676026
417,2295,2004,0.4070168738793739
418,2295,2005,0.4575351675709589
419,2295,2006,0.5036267906949359
420,2299,2002,1.997546848575637
421,2299,2003,2.12999238231276
422,2299,2004,2.237005875690274
423,2299,2005,2.332850569178048
424,2299,2006,2.41510954902534
425,2345,2002,0.060000000000000005
426,2345,2003,0.11430500165689338
427,2345,2004,0.1713197085655084
428,2345,2005,0.22995804325848584
429,2345,2006,0.2896256799603201
430,2393,2002,18.159164110216857
431,2393,2003,18.762661266354453
432,2393,2004,19.16738105299913
433,2393,2005,19.52099415967513
434,2393,2006,19.787354104720947
435,2403,2002,137.96409035528234
436,2403,2003,139.83467744047928
437,2403,2004,141.2067097621442
438,2403,2005,142.4583403452734
439,2403,2006,143.66025777772222
440,2436,2002,1.832267567098984
441,2436,2003,1.9644770534516067
442,2436,2004,2.0651675875843645
443,2436,2005,2.16431167023764
444,2436,2006,2.2518101555087493
445,2444,2002,56.796098933160145
446,2444,2003,57.263157882655634
447,2444,2004,57.81674644635807
448,2444,2005,58.272492829467296
449,2444,2006,58.7585667060828
450,2504,2002,90.75897227793654
451,2504,2003,89.14194629956985
452,2504,2004,88.52165208276233
453,2504,2005,88.32189891720216
454,2504,2006,88.64793312167174
455,2526,2002,2.0913141962447535
456,2526,2003,2.0361539551233903
457,2526,2004,2.0118466782746505
458,2526,2005,2.0603785946049005
459,2526,2006,2.1183722706330514
460,2536,2002,0.05000261131372541
461,2536,2003,0.08513327699175763
462,2536,2004,0.13541415108169483
463,2536,2005,0.18349421934092433
464,2536,2006,0.24304345556839033
465,2537,2002,0.06014074696243126
466,2537,2003,0.11414521684535492
467,2537,2004,0.1709838912206407
468,2537,2005,0.22941894888643533
469,2537,2006,0.2890933535564871
470,2577,2002,31.591114371184815
471,2577,2003,31.834018893918042
472,2577,2004,31.967457026862814
473,2577,2005,32.21338531303948
474,2577,2006,32.525327508278046
475,2589,2002,0.056116566230948364
476,2589,2003,0.09134854334333707
477,2589,2004,0.13298067253637816
478,2589,2005,0.17218444658125132
479,2589,2006,0.23245587857901978
480,2593,2002,39.39517750903744
481,2593,2003,39.53598545614372
482,2593,2004,39.86687393328476
483,2593,2005,40.103113289750034
484,2593,2006,40.42651356065838
485,2615,2002,1.18029842675263
486,2615,2003,1.2020698080724883
487,2615,2004,1.2252732468002459
488,2615,2005,1.2783199967397896
489,2615,2006,1.3358814266409937
490,2616,2002,0.7678454449413847
491,2616,2003,0.5368409299845892
492,2616,2004,0.45574002025958543
493,2616,2005,0.38186551618070186
494,2616,2006,0.3976682411538906
495,2694,2002,78.58671437324587
496,2694,2003,79.84845080816963
497,2694,2004,80.95165115195739
498,2694,2005,81.58500530770665
499,2694,2006,82.0643985671755
500,2696,2002,0.060000000000000005
501,2696,2003,0.11401850117942006
502,2696,2004,0.17085057552343091
503,2696,2005,0.22928188173875705
504,2696,2006,0.28895337719433534
505,2697,2002,1.0751563855976116
506,2697,2003,1.1358191924144108
507,2697,2004,1.1897759280197067
508,2697,2005,1.2564432876519012
509,2697,2006,1.3224638933283643
510,2751,2002,12.413381054598107
511,2751,2003,12.598387134632906
512,2751,2004,12.805476184915538
513,2751,2005,12.938152944045859
514,2751,2006,13.079433056241903
515,2802,2002,3.8962932450511794
516,2802,2003,4.064269137048953
517,2802,2004,4.196095014379153
518,2802,2005,4.318982130113014
519,2802,2006,4.421449771129352
520,2812,2002,1.096954461593014
521,2812,2003,1.1823016563403592
522,2812,2004,1.2624607190086024
523,2812,2005,1.3376380493876059
524,2812,2006,1.4051896383838263
525,2817,2002,259.80217743649695
526,2817,2003,259.7837621016988
527,2817,2004,260.31476299161557
528,2817,2005,261.3285066689839
529,2817,2006,262.8789098155503
530,2888,2002,0.18671792904724172
531,2888,2003,0.21769734705339672
532,2888,2004,0.2621865991701292
533,2888,2005,0.3174409010827335
534,2888,2006,0.36987466779408784
535,2950,2002,1.0872647470498755
536,2950,2003,1.1536934337537612
537,2950,2004,1.2274734733498978
538,2950,2005,1.2922920401749056
539,2950,2006,1.3597351268395264
540,2953,2002,1.9576039679355526
541,2953,2003,1.903676925576178
542,2953,2004,1.9058678487590766
543,2953,2005,1.9459496956449873
544,2953,2006,2.012699420859131
545,2968,2002,0.060000000000000005
546,2968,2003,0.11401850117942006
547,2968,2004,0.17085057552343091
548,2968,2005,0.22928188173875705
549,2968,2006,0.28895337719433534
550,2991,2002,-0.36452024816345674
551,2991,2003,-0.5841678109185635
552,2991,2004,-0.5833667080159216
553,2991,2005,-0.5707121148059597
554,2991,2006,-0.5481946224693454
555,3011,2002,38.70060871241887
556,3011,2003,38.367509163455544
557,3011,2004,38.50240606709131
558,3011,2005,38.593072695631946
559,3011,2006,38.79713669154779
560,3024,2002,0.04014364088912356
561,3024,2003,0.0792123607391908
562,3024,2004,0.11688839816645896
563,3024,2005,0.17598171449984443
564,3024,2006,0.2338577910349507
565,3026,2002,10.011622552747376
566,3026,2003,10.21186680133069
567,3026,2004,10.379433047212707
568,3026,2005,10.588110294133507
569,3026,2006,10.758997552138252
570,3031,2002,0.19664610860267995
571,3031,2003,0.23510041727351133
572,3031,2004,0.2886056154198332
573,3031,2005,0.34311312512796754
574,3031,2006,0.39597929842658397
575,3041,2002,2.851993957013649
576,3041,2003,2.852214196517275
577,3041,2004,2.8828705407579758
578,3041,2005,2.9236682457882814
579,3041,2006,3.0073737923473884
580,3062,2002,0.060000000000000005
581,3062,2003,0.11401850117942006
582,3062,2004,0.17085057552343091
583,3062,2005,0.22928188173875705
584,3062,2006,0.28895337719433534
585,3093,2002,7.318314320348778
586,3093,2003,7.4241292522411095
587,3093,2004,7.5803067906463415
588,3093,2005,7.688404523393743
589,3093,2006,7.7922587008001285
590,3121,2002,12.372234317181736
591,3121,2003,12.277640612279093
592,3121,2004,12.299349550101386
593,3121,2005,12.363199315539163
594,3121,2006,12.463937614410643
595,3144,2002,30.3910152294588
596,3144,2003,30.853835323426893
597,3144,2004,31.179506566881113
598,3144,2005,31.478601526697542
599,3144,2006,31.798013711901625
600,3153,2002,0.051535352763634266
601,3153,2003,0.09644139647752328
602,3153,2004,0.1538691002333838
603,3153,2005,0.21160791067947302
604,3153,2006,0.27083906920105183
605,3157,2002,8.349648385529955
606,3157,2003,8.211528498010884
607,3157,2004,8.192638814130632
608,3157,2005,8.181061433625121
609,3157,2006,8.320123050791743
610,3170,2002,89.73753630546165
611,3170,2003,90.07712267872239
612,3170,2004,90.76295688009431
613,3170,2005,91.34000024349626
614,3170,2006,91.91046939028017
615,3171,2002,0.19633837903736373
616,3171,2003,0.23445749867358823
617,3171,2004,0.28798474038642713
618,3171,2005,0.3423585143316794
619,3171,2006,0.3951742919374744
620,3218,2002,0.14649889372559358
621,3218,2003,0.14467402748605376
622,3218,2004,0.16200797608720294
623,3218,2005,0.20692085829245632
624,3218,2006,0.25683380615488094
625,3310,2002,11.736681672277523
626,3310,2003,11.757470631603708
627,3310,2004,11.719565844008466
628,3310,2005,11.79044192677052
629,3310,2006,11.94576329216145
630,3333,2002,4.152813631606129
631,3333,2003,4.079582211350319
632,3333,2004,4.158582813149707
633,3333,2005,4.210681724046968
634,3333,2006,4.235101438907893
635,3336,2002,0.7020551385608449
636,3336,2003,0.6227040461475307
637,3336,2004,0.6415239174100669
638,3336,2005,0.6491040614366872
639,3336,2006,0.6740947504777152
640,3362,2002,5.6881297248027005
641,3362,2003,5.806634545013075
642,3362,2004,5.894640820501832
643,3362,2005,5.9952685301062205
644,3362,2006,6.115170792110003
645,3497,2002,6.47887645535597
646,3497,2003,6.425699878450036
647,3497,2004,6.420610114327687
648,3497,2005,6.506060019830925
649,3497,2006,6.599020825979129
650,3502,2002,1.7044746424755408
651,3502,2003,1.716429928411447
652,3502,2004,1.7507024458137384
653,3502,2005,1.8082347881026195
654,3502,2006,1.8905311715224806
655,3504,2002,1.8611212072781294
656,3504,2003,2.009342856275292
657,3504,2004,2.1198950782559107
658,3504,2005,2.219806141105815
659,3504,2006,2.309050019633397
660,3505,2002,1.8586749890961425
661,3505,2003,1.9967446558273967
662,3505,2004,2.099318515841914
663,3505,2005,2.1894596906818258
664,3505,2006,2.278792887651845
665,3532,2002,277.2021541263547
666,3532,2003,281.51193477754936
667,3532,2004,284.7746080951599
668,3532,2005,286.8644580475813
669,3532,2006,289.0501214398986
670,3580,2002,10.357069078196862
671,3580,2003,10.19925633155517
672,3580,2004,10.212401218335707
673,3580,2005,10.248551638907003
674,3580,2006,10.294588253680804
675,3607,2002,0.06037229544627345
676,3607,2003,0.1147575546850094
677,3607,2004,0.1720119825126702
678,3607,2005,0.23060826330769663
679,3607,2006,0.2906301401199714
680,3619,2002,1.8216575203086118
681,3619,2003,1.9655543150458246
682,3619,2004,2.0653110562309207
683,3619,2005,2.165267024413923
684,3619,2006,2.2532407473844214
685,3639,2002,3.7773654554315037
686,3639,2003,3.7211099764408524
687,3639,2004,3.752527923112613
688,3639,2005,3.772885358577283
689,3639,2006,3.8203100735942845
690,3650,2002,77.4921715901946
691,3650,2003,78.24144762590936
692,3650,2004,78.93732537625344
693,3650,2005,79.671921233651
694,3650,2006,80.31742829118203
695,3662,2002,2.1116045300907307
696,3662,2003,2.2006913088884654
697,3662,2004,2.2891742223375457
698,3662,2005,2.360880161483106
699,3662,2006,2.4365264135263573
700,3707,2002,0.05153535276363427
701,3707,2003,0.09644139647752328
702,3707,2004,0.1538691002333838
703,3707,2005,0.21160791067947302
704,3707,2006,0.27083906920105183
705,3734,2002,116.77052246420193
706,3734,2003,119.07501478503687
707,3734,2004,120.53202175954844
708,3734,2005,121.73391299028314
709,3734,2006,123.04944986635087
710,3735,2002,16.361817331359813
711,3735,2003,16.378550221201674
712,3735,2004,16.443973727635495
713,3735,2005,16.6428544916105
714,3735,2006,16.823204315005462
715,3761,2002,4.309073860787653
716,3761,2003,4.380151878978469
717,3761,2004,4.447349366252416
718,3761,2005,4.49246303985966
719,3761,2006,4.577461838542324
720,3769,2002,1.0932237287984372
721,3769,2003,1.1590864873317506
722,3769,2004,1.2241208238427224
723,3769,2005,1.2800426788585093
724,3769,2006,1.348179164394954
725,3793,2002,4.944144432166086
726,3793,2003,5.149167367530332
727,3793,2004,5.323478718632601
728,3793,2005,5.4617947603684955
729,3793,2006,5.573455344868105
730,3835,2002,171.03212753730458
731,3835,2003,174.64312690948412
732,3835,2004,177.21550007836373
733,3835,2005,179.10578038075022
734,3835,2006,180.68922638002505
735,3851,2002,2.897571167573682
736,3851,2003,3.0767041344740553
737,3851,2004,3.2101709261861395
738,3851,2005,3.326687897906882
739,3851,2006,3.4236103182983095
740,3863,2002,0.18671792904724174
741,3863,2003,0.21769734705339672
742,3863,2004,0.2616245267413473
743,3863,2005,0.3164630415085113
744,3863,2006,0.3684315053468916
745,3897,2002,0.05805828311547418
746,3897,2003,0.10234217769370087
747,3897,2004,0.1516083086643764
748,3897,2005,0.20040984216255112
749,3897,2006,0.2603722077373623
750,3916,2002,0.9386549260101035
751,3916,2003,1.0150323532522763
752,3916,2004,1.0719607500906223
753,3916,2005,1.14208834479822
754,3916,2006,1.2149562544083952
755,3946,2002,17.609094508823567
756,3946,2003,17.696767394602368
757,3946,2004,17.64359577733212
758,3946,2005,17.79280682145947
759,3946,2006,17.989258857739493
760,3949,2002,0.18511631830968805
761,3949,2003,0.2066509264214605
762,3949,2004,0.2433303398822664
763,3949,2005,0.2885299796595037
764,3949,2006,0.34082065709572573
765,3969,2002,0.060000000000000005
766,3969,2003,0.11401850117942006
767,3969,2004,0.17085057552343091
768,3969,2005,0.22975057088892448
769,3969,2006,0.2897654439788206
770,3971,2002,5.340423761678057
771,3971,2003,5.362149844159262
772,3971,2004,5.414817145326969
773,3971,2005,5.508787202930021
774,3971,2006,5.5842163554298025
775,3980,2002,0.08620475024853044
776,3980,2003,0.050537325583293734
777,3980,2004,0.07748160419988043
778,3980,2005,0.12803103188893747
779,3980,2006,0.17494466964652583
780,4029,2002,0.05004368791011987
781,4029,2003,0.10505475023992233
782,4029,2004,0.1614199443753602
783,4029,2005,0.21958587639710472
784,4029,2006,0.279051576667242
785,4036,2002,24.439091248416336
786,4036,2003,24.574788317764956
787,4036,2004,24.667773398104696
788,4036,2005,24.91314201215554
789,4036,2006,25.15951713066255
790,4040,2002,6.043653879770793
791,4040,2003,5.909986177452128
792,4040,2004,5.881584814567213
793,4040,2005,5.924232109515489
794,4040,2006,5.9954149496029725
795,4049,2002,0.9304675492551356
796,4049,2003,1.0266056906479188
797,4049,2004,1.100263844287357
798,4049,2005,1.1798109541144857
799,4049,2006,1.2534803572763686
800,4058,2002,1.3091315502562415
801,4058,2003,1.2144152616030006
802,4058,2004,1.2338269580731016
803,4058,2005,1.2706906350059
804,4058,2006,1.3089658059653748
805,4060,2002,62.811856960432316
806,4060,2003,60.05021799553248
807,4060,2004,58.962892232957294
808,4060,2005,58.25906444009014
809,4060,2006,58.1195440029054
810,4077,2002,0.06022262638877501
811,4077,2003,0.11434319877844931
812,4077,2004,0.17117332451373124
813,4077,2005,0.22998268806331915
814,4077,2006,0.28962558063017513
815,4087,2002,477.33957865245543
816,4087,2003,477.9153799352606
817,4087,2004,480.0764882468064
818,4087,2005,482.10376391386376
819,4087,2006,484.60768522104433
820,4094,2002,0.9249580991913567
821,4094,2003,0.9995246752010799
822,4094,2004,1.0843306220939872
823,4094,2005,1.1610888874788907
824,4094,2006,1.2339189926446328
825,4124,2002,1.233600570195694
826,4124,2003,1.3033835724344505
827,4124,2004,1.380601440550626
828,4124,2005,1.4518165251839639
829,4124,2006,1.512580877748692
830,4128,2002,0.9171580387482645
831,4128,2003,0.9940501455527329
832,4128,2004,1.0514504028538616
833,4128,2005,1.110840999605277
834,4128,2006,1.184275515850007
835,4132,2002,4.824905802601592
836,4132,2003,5.074785458481728
837,4132,2004,5.248655084581594
838,4132,2005,5.402918906195912
839,4132,2006,5.52150912636535
840,4140,2002,18.857852093581407
841,4140,2003,19.17951323073761
842,4140,2004,19.42485346634494
843,4140,2005,19.565508026718938
844,4140,2006,19.753365724963537
845,4145,2002,23.593648621741615
